BASE_YM,MDCL_TOID_CODE,MDCL_TOID_NM,MENU_LGLS_CODE,MENU_LGLS_NM,MENU_MDCL_CODE,MENU_MDCL_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT,AGEGRP_SEX_TOT_SELG_AMNT,MLE_Y20_BELO_USE_NCAS,MLE_Y20_USE_NCAS,MLE_Y30_USE_NCAS,MLE_Y40_USE_NCAS,MLE_Y50_USE_NCAS,MLE_Y60_ANM_USE_NCAS,WO_Y20_BELO_USE_NCAS,WO_Y20_USE_NCAS,WO_Y30_USE_NCAS,WO_Y40_USE_NCAS,WO_Y50_USE_NCAS,WO_Y60_ANM_USE_NCAS
202312,Q11,제과/제빵/떡/케익,W,음료류,W02,밀크티/버블티류,,2656403,3063101,1440433,1941315,288650,312600,11228006,5952583,2798942,2409923,288100,,,420,497,233,310,41,47,1792,957,466,388,45
202405,Q14,패스트푸드,A,밥류,A07,밥버거류,111400,1592500,1148900,725400,746900,102600,26700,723800,655200,1177400,707200,,787400,26,341,234,158,160,23,8,159,142,258,150,
202401,Q12,중식,B,면류,B10,우동류,112500,2493700,8238300,19223001,30435584,34258626,,795500,3102500,8795300,11857526,15013667,,13,297,923,2140,3441,3919,,101,347,1009,1341,1690
202309,Q03,닭/오리요리,V,주류,V08,전통주류,,35000,106000,425000,1137000,865000,,,,20000,,50000,,,7,20,50,198,186,,,,4,,13
202406,Q04,별식/퓨전요리,L,전/부침류,L06,외국식전/부침류,,717900,2338316,3606995,1709542,570500,,2059100,4545386,4308271,3001385,894000,,,47,148,214,100,36,,117,259,253,165,52
202310,Q08,유흥주점,W,음료류,W07,우유/요거트류,,95000,112000,58500,136000,,,68000,24000,49400,204000,,,,38,36,9,16,,,20,8,9,26,
202311,Q05,부페,T,빵/과자류,T02,과자류,,,27000,58000,,,,,7000,,8000,,,,,13,36,,,,,4,,4,
202311,Q11,제과/제빵/떡/케익,G,튀김류,G01,수산물튀김류,,,,23000,,31500,,,34500,36500,31600,,,,,,23,,18,,,5,25,8,
202401,Q01,간이주점,B,면류,B14,탕면류,,39000,182000,472000,294000,,,,258000,228000,50000,,,,6,21,56,35,,,,27,26,7,
202405,Q01,간이주점,L,전/부침류,L06,외국식전/부침류,,11010949,11299154,5023667,1014400,63700,,8688169,5209761,1757500,542740,,,,788,741,340,69,4,,614,333,109,35,
202404,Q14,패스트푸드,A,밥류,A10,비빔밥류,,391000,394500,250000,638500,373000,,380000,670900,604000,882900,132000,,,45,35,21,57,36,,38,56,48,70,12
202308,Q07,양식,B,면류,B09,수제비류,,48000,312500,554500,623500,367500,,317900,416600,547500,885400,645000,,,6,38,69,77,46,,26,41,67,103,77
202307,Q06,분식,N,회류,N01,수산물생회류,,971000,4525000,5690000,8472500,6243000,,707000,2226000,3049000,2918000,2297000,,,38,198,306,593,492,,27,97,152,216,187
202401,Q04,별식/퓨전요리,V,주류,V02,동동주/막걸리류,,550500,3662600,7412800,16282541,24033385,,325500,1154500,1736000,3090000,3239500,,,136,851,1905,4240,6186,,71,251,424,778,833
202311,Q15,한식,W,음료류,W03,생수류,,14000,72500,20000,39200,12000,,13000,10000,18600,7200,,,,14,21,16,21,8,,13,10,13,4,
202403,Q14,패스트푸드,T,빵/과자류,T28,크로와상류,,204380,728220,1018083,853480,620210,,666960,1446739,1675122,1660803,906671,,,42,156,212,186,131,,140,311,372,369,201
202310,Q10,일식/수산물,K,적/꼬치류,K01,수산물꼬치류,,,,60000,275000,,,,,,150000,,,,,,6,24,,,,,,15,
202308,Q05,부페,B,면류,B01,국수류,,474500,656600,1618800,2930400,3622000,,71000,225000,698300,1606000,1681000,,,74,82,199,367,428,,11,29,84,191,195
202401,Q02,고기요리,M,만두류,M03,육류만두류,,364100,1895800,2613200,2403980,1394500,20000,511500,798400,827800,790500,317000,,,68,326,424,411,234,4,88,128,139,149,51
202311,Q10,일식/수산물,L,전/부침류,L06,외국식전/부침류,,2904259,3598132,767900,104000,,,4074025,2235120,316900,98000,,,,191,226,49,5,,,263,133,21,7,
202401,Q02,고기요리,A,밥류,A03,김밥류,,90000,452000,647500,589000,126000,,275000,480600,733500,255000,78500,,,20,96,166,142,36,,47,105,181,71,27
202402,Q02,고기요리,L,전/부침류,L03,육전류,,180000,1595400,3030410,2025051,1176222,,355600,744620,860511,1608443,1549728,,,8,100,172,139,92,,18,60,58,98,66
202311,Q08,유흥주점,T,빵/과자류,T36,피자류,,1795750,3635707,1135494,137600,,,2148300,797700,,108000,,,,96,195,56,9,,,116,43,,6,
202308,Q12,중식,B,면류,B08,소바류,,65000,44426,185000,313000,550000,,48000,89000,65000,155000,320000,,,9,5,23,39,67,,6,10,8,19,39
202404,Q06,분식,T,빵/과자류,T26,쿠키류,,3000,35700,52800,42200,99200,,21100,25800,115133,57300,49500,,,10,11,21,13,19,,43,18,65,21,9
202403,Q06,분식,T,빵/과자류,T02,과자류,338967,1663958,2199800,3802600,2560100,1460832,381300,2258900,2625900,4695693,1672810,1257200,6317672,131,533,604,1084,671,346,137,695,750,1365,470,340
202311,Q03,닭/오리요리,D,국/탕/찌개/전골류,D02,나베류,,120000,,97000,,,,286300,105700,,,,,,6,,10,,,,19,11,,,
202405,Q04,별식/퓨전요리,B,면류,B11,중국식면류,,1437500,1920700,3086800,2094400,560500,,1676800,1071000,1380000,781600,60000,,,128,186,307,211,78,,154,111,131,77,6
202403,Q12,중식,A,밥류,A03,김밥류,,100000,591500,1264400,771500,419000,,144000,538900,1034500,869500,287000,,,25,152,356,245,144,,38,148,298,253,92
202309,Q03,닭/오리요리,B,면류,B13,칼국수류,,1822900,3273400,4593500,5515400,3943000,40000,2042900,2012500,2315500,3151400,2107000,,,351,647,864,1001,622,5,356,435,451,517,314
202404,Q12,중식,U,과일/샐러드류,U02,샐러드류,,0,63000,76000,0,5000,,168180,211800,130000,63000,84000,,,7,12,12,20,29,,10,28,15,15,37
202404,Q16,휴게소/대형업체,M,만두류,M03,육류만두류,,,,,,36000,,,,,,,,,,,,,7,,,,,,
202402,Q15,한식,R,묵류,R01,어묵류,10200,496000,1102450,1807400,1562600,495700,17000,582000,891500,870456,725700,328200,2094000,11,250,394,588,612,298,13,247,322,406,363,154
202406,Q15,한식,L,전/부침류,L01,해물전류,,149000,1464300,2969753,5512500,4027000,,803000,1251300,1473600,2008600,1725000,,,14,94,183,355,232,,51,82,83,117,104
202405,Q11,제과/제빵/떡/케익,H,찜류,H01,수산물찜류,,,,,,,,,,,,,,,,,,,,,,,,,
202404,Q15,한식,W,음료류,W10,주스류,,296000,939578,701828,892671,373900,8000,398488,1076940,811872,1216304,812274,,,94,180,131,137,69,4,77,176,122,196,161
202309,Q15,한식,H,찜류,H04,김치찜류,36000,6409491,13054900,15320139,18291141,10323600,45000,10467800,9307771,8618200,8980547,2446800,,4,510,1048,1251,1450,887,5,737,723,724,720,220
202405,Q04,별식/퓨전요리,W,음료류,W12,커피류,,238000,1070790,723591,655340,629460,,330300,945037,871484,711530,429000,,,68,296,230,196,196,,80,263,227,213,125
202310,Q07,양식,A,밥류,A05,도시락류,68000,54500,224500,425500,118500,,,86000,,198500,,,,4,5,18,37,7,,,10,,14,,
202403,Q02,고기요리,W,음료류,W05,스무디류,,54000,64400,98300,105700,34300,,57000,50000,159300,125100,,,,18,11,16,17,5,,9,8,35,18,
202308,Q14,패스트푸드,G,튀김류,G02,야채/채소튀김류,196900,3468000,5440799,5615819,3571499,1275650,73400,4492917,4554970,5515811,3265960,1307750,2629800,58,1385,1813,1778,1440,473,20,1506,1386,1754,1333,543
202309,Q08,유흥주점,W,음료류,W10,주스류,40000,596176,1101224,449200,759500,238000,,433800,267500,173200,68800,77000,,4,196,239,79,80,34,,67,44,27,13,17
202405,Q10,일식/수산물,W,음료류,W12,커피류,9000,388300,1001500,1079200,1595300,1447150,19500,1047812,987300,1079428,1341835,673600,3312416,6,149,314,390,584,502,13,265,291,386,463,229
202402,Q13,커피/음료,B,면류,B01,국수류,,,361600,138000,148600,153000,,,47000,180000,30000,80000,,,,43,20,20,23,,,5,21,4,10
202307,Q01,간이주점,T,빵/과자류,T34,페이스트리/파이류,,465600,1324000,399200,271700,,,1033900,686800,67900,87000,,,,75,218,72,39,,,145,123,15,14,
202405,Q06,분식,V,주류,V08,전통주류,,,,,,,,,,,,,,,,,,,,,,,,,
202311,Q04,별식/퓨전요리,R,묵류,R01,어묵류,14200,,17000,54000,66500,74500,11400,,5400,55000,53500,,,10,,11,17,21,23,8,,4,31,33,
202307,Q14,패스트푸드,V,주류,V04,사케류,,,182000,,,,,,,,,,,,,8,,,,,,,,,
202309,Q03,닭/오리요리,H,찜류,H04,김치찜류,,,,135600,141000,,,,,,,,,,,,16,15,,,,,,,
202312,Q13,커피/음료,V,주류,V07,와인류,,1810119,5127512,5518831,8044518,3748890,,4316857,6376750,9092805,13853100,3101000,3540565,,254,709,777,1080,438,,613,954,1381,2166,468
202403,Q07,양식,B,면류,B04,동남아식면류,84000,44000,312900,865000,660700,354000,,354500,419800,804700,570400,330500,,7,4,36,88,66,31,,33,40,77,59,37
202310,Q08,유흥주점,B,면류,B06,라면류,,500000,962600,156000,,,,335000,163000,37000,20000,,,,96,147,26,,,,50,20,4,4,
202402,Q05,부페,X,빙과류,X01,아이스크림류,27000,80600,121803,289800,110800,17000,20000,,74000,151200,78000,,,26,71,102,202,98,17,20,,41,117,63,
202401,Q15,한식,T,빵/과자류,T17,일반빵류,,69700,572900,783997,1216291,934840,,283810,589765,801506,1112122,1111485,,,16,136,215,275,237,,57,135,198,241,209
202405,Q02,고기요리,I,조림류,I02,야채/채소조림류,,0,55000,81000,408000,0,,0,0,0,85000,0,,,36,349,324,266,91,,63,182,113,109,29
202309,Q03,닭/오리요리,P,냉채/무침류,P02,야채/채소무침류,,34000,274000,604000,538500,11000,,120600,169000,422000,604000,150000,,,34,33,42,54,11,,33,16,32,66,18
202401,Q11,제과/제빵/떡/케익,A,밥류,A12,일반밥류,,46500,232640,548500,657484,301250,,48000,289930,388720,514119,210400,,,39,152,348,389,244,,14,139,226,221,148
202405,Q10,일식/수산물,T,빵/과자류,T31,타코/브리또/또띠아/랩류,,41800,95000,222400,,,,125500,53200,44000,,,,,11,25,24,,,,28,14,8,,
202403,Q08,유흥주점,G,튀김류,G05,기타튀김류,,,,,,,,26000,32500,,,,,,,,,,,,4,5,,,
202309,Q07,양식,D,국/탕/찌개/전골류,D01,국류,,2010000,3531500,6559500,6702500,5918000,,1260000,2299800,2822000,3639000,3320000,,,201,349,653,679,589,,126,224,279,366,332
202404,Q02,고기요리,W,음료류,W11,차류,,215700,382272,215500,345000,116100,,250500,253700,202250,384200,282400,,,75,116,102,121,49,,47,66,84,95,53
202310,Q14,패스트푸드,T,빵/과자류,T13,스콘류,,84800,141085,203100,165430,90200,,229107,292219,599224,483668,169000,,,23,38,56,42,23,,50,70,164,129,39
202312,Q07,양식,T,빵/과자류,T08,버거류,29200,479419,1015286,1065481,902500,235000,,632290,866254,643637,635000,215000,,4,51,138,158,162,47,,57,103,97,100,43
202401,Q10,일식/수산물,B,면류,B07,볶음면류,,,,,,,,,,,,,,,,,,,,,,,,,
202403,Q06,분식,T,빵/과자류,T31,타코/브리또/또띠아/랩류,89000,2108100,713100,665000,661000,32000,167700,1439000,606700,864700,753600,,,15,454,98,88,117,8,29,275,80,118,132,
202401,Q07,양식,T,빵/과자류,T34,페이스트리/파이류,,311600,911400,414700,422700,114300,,1569606,1805840,732600,642800,189900,,,41,85,68,75,19,,232,272,120,107,34
202403,Q14,패스트푸드,V,주류,V05,소주류,,2114515,8826800,8086204,4700408,577000,,871700,2089300,1166800,887900,85000,,,449,1709,1661,981,127,,161,346,236,190,17
202402,Q11,제과/제빵/떡/케익,W,음료류,W04,쉐이크류,17500,397300,595219,701900,424316,104500,80000,731700,648520,630555,241900,84000,1290720,5,74,110,148,93,26,10,121,130,138,48,22
202308,Q02,고기요리,K,적/꼬치류,K04,기타꼬치류,,,135000,145000,128000,,,,131000,14000,70000,,,,,16,32,29,,,,16,4,17,
202311,Q02,고기요리,N,회류,N02,수산물숙회류,,0,0,368000,80000,50000,,,0,,0,,,,4,18,18,18,10,,,4,,7,
202402,Q02,고기요리,T,빵/과자류,T28,크로와상류,,240000,272600,80400,103700,0,,195000,367809,169840,207700,66500,,,22,87,15,30,16,,32,76,33,53,13
202310,Q08,유흥주점,A,밥류,A09,볶음밥류,,496200,754800,254000,147200,93000,,1203500,818500,190000,132000,60000,,,34,44,31,29,31,,72,46,12,24,20
202309,Q15,한식,U,과일/샐러드류,U01,과일류,,3251400,534800,893800,1208700,327000,,1886700,,58700,75700,,,,189,33,52,68,17,,121,,17,14,
202310,Q08,유흥주점,X,빙과류,X01,아이스크림류,,343300,726400,190429,175400,,,625000,135000,,,,,,48,59,14,10,,,80,15,,,
202308,Q06,분식,Q,김치류,Q01,배추김치류,,524500,544600,857600,1443500,1017000,,583500,291200,1020500,1154600,1257500,,,74,116,230,213,103,,89,101,280,168,120
202308,Q14,패스트푸드,A,밥류,A07,밥버거류,225800,1274000,1143000,967800,768900,57600,20800,828100,563700,1493412,741300,33200,,48,275,234,211,167,13,5,188,129,335,159,8
202308,Q07,양식,X,빙과류,X02,빙수류,,731916,1237550,1587500,2505800,2625000,,790300,1178100,1692900,2693900,2077500,,,27,69,113,206,252,,37,64,116,210,180
202403,Q06,분식,A,밥류,A11,쌈밥류,,27000,273300,372500,258500,468000,,56500,191500,139700,188500,,,,6,42,34,27,36,,11,25,17,21,
202307,Q10,일식/수산물,V,주류,V07,와인류,,48000,531500,240000,584000,139000,,500418,759500,467500,140780,,,,5,13,5,32,6,,59,39,13,17,
202405,Q03,닭/오리요리,B,면류,B12,쫄면류,,438800,2593200,7362400,7052865,1833800,,482900,2064400,5708813,5200600,1475900,,,26,174,476,425,126,,28,138,342,300,79
202310,Q07,양식,E,구이류,E02,야채/채소구이류,,,122000,183000,354000,484000,,,240500,54000,228000,230000,,,,9,8,26,33,,,25,4,11,17
202406,Q12,중식,A,밥류,A05,도시락류,,992934,1103900,866400,96000,,2000,874500,1336500,357000,369500,,,,115,302,260,31,,4,221,375,114,105,
202309,Q07,양식,A,밥류,A05,도시락류,,196600,184500,510600,255000,,,41000,202500,272500,431500,,,,14,16,38,21,,,5,15,18,36,
202405,Q13,커피/음료,B,면류,B08,소바류,,558800,666800,249300,665300,754000,,1506000,859600,291600,324500,791500,,,56,64,30,71,74,,155,79,30,46,80
202402,Q16,휴게소/대형업체,T,빵/과자류,T19,전통과자류,,,,,,,,,,,,,,,,,,,,,,,,,
202308,Q11,제과/제빵/떡/케익,D,국/탕/찌개/전골류,D06,전골류,115600,1636000,11882428,18152200,29207064,25709000,,3340100,9463200,15791000,22098500,19181400,17873800,10,97,706,1073,1780,1503,,207,545,969,1348,1186
202403,Q15,한식,F,볶음류,F06,떡볶이류,16000,1602900,2697700,4124474,3209100,712500,53500,2200800,2765600,3720700,2576200,1027000,1680000,4,205,357,585,442,104,14,256,369,578,387,156
202403,Q04,별식/퓨전요리,K,적/꼬치류,K04,기타꼬치류,,,,,,,,,,,,,,,,,,,,,,,,,
202308,Q11,제과/제빵/떡/케익,L,전/부침류,L02,야채전/부침류,,305000,1486500,1820400,3145600,3595500,,863000,1789959,2898100,3374600,3006000,,,31,134,171,287,327,,86,173,280,320,295
202401,Q08,유흥주점,A,밥류,A16,탕밥류,,232078,,,,,,149000,,50000,,,,,8,,,,,,5,,5,,
202310,Q10,일식/수산물,E,구이류,E02,야채/채소구이류,,260000,594000,757000,168000,847000,,419000,285500,103000,152000,90000,,,28,82,63,24,43,,45,27,12,10,6
202403,Q07,양식,B,면류,B14,탕면류,,539304,422200,577600,211000,119000,83200,941500,585400,358100,224000,,,,49,38,56,20,10,8,85,53,35,20,
202403,Q08,유흥주점,T,빵/과자류,T06,바게트류,,,,,,,,,,,,,,,,,,,,,,,,,
202402,Q14,패스트푸드,F,볶음류,F04,김치볶음류,,,,,,,,,,,,,,,,,,,,,,,,,
202401,Q07,양식,T,빵/과자류,T05,머랭류,,,3800,3800,,,,198200,125000,53500,23100,,,,,9,7,,,,55,46,21,20,
202401,Q16,휴게소/대형업체,B,면류,B01,국수류,,,,47500,131500,,,,,242000,18000,,,,,,10,24,,,,,45,4,
202402,Q07,양식,T,빵/과자류,T16,인도식빵류,15000,2574321,6132075,1537850,605300,154700,,689300,1007172,387450,446500,9500,,5,964,2233,632,243,67,,404,493,183,214,4
202405,Q09,음식배달서비스,F,볶음류,F03,육류볶음류,,,,100000,90000,,,,,,,,,,,,5,6,,,,,,,
202401,Q01,간이주점,H,찜류,H03,육류찜류,,4785000,3118700,309550,520000,174000,,2205300,677000,,272900,,,,228,122,15,19,6,,97,23,,13,
202309,Q13,커피/음료,T,빵/과자류,T07,발효빵류,,47700,418700,1130246,2054064,2023458,,276880,1231245,2039174,3884414,2146982,,,7,69,185,350,337,,46,208,362,658,363
202404,Q06,분식,T,빵/과자류,T19,전통과자류,,,132000,215000,273000,137000,,,121000,207600,210900,184000,,,,38,92,101,61,,,39,83,80,74
202310,Q08,유흥주점,W,음료류,W02,밀크티/버블티류,,129000,65500,65500,74000,,,415000,184787,,,,,,21,7,9,9,,,60,29,,,
202402,Q09,음식배달서비스,V,주류,V03,맥주류,,116000,376000,530000,524000,,,241500,28000,95000,,,,,25,63,115,106,,,31,5,19,,
202308,Q02,고기요리,S,떡류,S01,일반떡류,,,,,,,,,,,60000,,,,,,,,,,,,,12,
202406,Q07,양식,T,빵/과자류,T01,(잉글리쉬)머핀류,,88500,422500,75000,141000,,,341500,696500,536000,565400,228000,,,6,25,5,9,,,23,41,30,35,12
202307,Q10,일식/수산물,P,냉채/무침류,P02,야채/채소무침류,,,,137000,135000,,,,,,64000,,,,,,11,16,,,,,,10,
202405,Q06,분식,O,장/장아찌류,O02,게장류,,,,,,,,,,,,,,,,,,,,,,,,,
202307,Q04,별식/퓨전요리,L,전/부침류,L01,해물전류,,104300,454000,198100,270800,104300,,652100,728700,459300,308200,149000,,,7,36,17,24,7,,52,59,34,23,10
202405,Q07,양식,U,과일/샐러드류,U01,과일류,,18000,,183000,180000,,,36000,35000,,,,,,4,,5,8,,,8,5,,,
202308,Q10,일식/수산물,B,면류,B12,쫄면류,,,,44973,,,,20500,26000,20500,,,,,,,9,,,,4,5,4,,
202404,Q12,중식,A,밥류,A05,도시락류,,256000,1100500,515000,490500,102500,,1791000,1796000,415500,243000,151000,,,73,315,169,146,34,,523,506,128,66,46
202310,Q08,유흥주점,T,빵/과자류,T02,과자류,,1029000,1629500,323500,197000,,,1322300,658000,44000,36000,,,,133,161,35,22,,,131,53,4,4,
202406,Q09,음식배달서비스,V,주류,V03,맥주류,,124000,420000,65000,389000,,,,88000,208000,125000,,,,24,52,13,80,,,,14,40,29,
202405,Q12,중식,Q,김치류,Q01,배추김치류,,,10000,16000,,,,,,,,115000,,,,5,8,,,,,,,,5
202311,Q08,유흥주점,W,음료류,W08,이온음료류,,40000,42000,,,,,,,,,,,,20,21,,,,,,,,,
202406,Q10,일식/수산물,A,밥류,A05,도시락류,,211000,308000,1191600,1576700,1422000,,179000,660300,750000,803600,1552000,,,30,49,65,76,64,,20,32,41,38,53
202309,Q12,중식,A,밥류,A13,주먹밥류,,27766,15000,,,,,,,,,,,,8,5,,,,,,,,,
202310,Q11,제과/제빵/떡/케익,M,만두류,M04,김치만두류,36000,3297600,9428000,13560498,16135191,9424810,63500,6019800,9592433,15232733,17225298,9487618,35542951,10,613,1738,2510,2948,1666,16,1150,1787,2828,3128,1709
202402,Q15,한식,S,떡류,S01,일반떡류,,40000,42300,107000,207500,194000,,65000,66900,28800,180100,147800,,,5,16,23,34,32,,9,42,13,36,23
202310,Q06,분식,B,면류,B09,수제비류,161000,6856900,22029016,36914248,51730380,50913216,74500,11449700,22526200,36993058,52392616,48645058,36811400,20,874,2712,4622,6442,6407,9,1438,2811,4696,6585,6143
202312,Q12,중식,B,면류,B02,냉면류,,510500,909000,649000,1002000,488000,,296664,407500,425000,612000,83500,,,77,144,88,140,74,,44,68,60,80,11
202311,Q01,간이주점,O,장/장아찌류,O02,게장류,,,94000,78000,,,,,,,,78000,,,,5,6,,,,,,,,6
202405,Q07,양식,L,전/부침류,L01,해물전류,,,,,,,,,,,,,,,,,,,,,,,,,
202405,Q01,간이주점,T,빵/과자류,T17,일반빵류,,173500,175850,155000,,40500,,562702,208400,72400,63000,61660,,,26,33,25,,10,,76,54,20,17,19
202308,Q10,일식/수산물,P,냉채/무침류,P03,육류무침류,,,230000,257200,482000,,,3000,3000,,207000,,,,,6,15,18,,,5,5,,8,
202404,Q14,패스트푸드,B,면류,B10,우동류,,238500,518500,491500,547500,1105000,,309000,319000,412500,382500,535500,,,30,61,61,65,130,,39,37,48,48,63
202310,Q15,한식,V,주류,V07,와인류,,865900,2585120,1327000,355800,245000,,2710267,2337387,799000,364000,47500,,,73,94,51,34,37,,126,125,31,20,7
202308,Q07,양식,W,음료류,W03,생수류,8000,162000,225000,136500,54500,,,104500,221000,78500,58000,,,8,109,137,92,16,,,63,106,59,31,
202406,Q16,휴게소/대형업체,W,음료류,W06,에이드류,,13400,17500,22200,22800,,,,,,50200,,,,7,10,17,6,,,,,,10,
202312,Q06,분식,H,찜류,H05,난찜류,,155000,243500,137000,115000,15000,,185000,42000,46000,,,,,33,58,34,25,5,,40,6,10,,
202307,Q09,음식배달서비스,J,데침/삶음류,J03,육류삶음류,,,,,,,,,,,,,,,,,,,,,,,,,
202310,Q01,간이주점,T,빵/과자류,T29,크림빵류,,102000,240000,204000,100000,58000,,50000,130000,126000,140000,,,,21,45,37,19,12,,11,26,23,25,
202307,Q14,패스트푸드,Q,김치류,Q01,배추김치류,,,,,32000,,,,,74000,37800,71000,,,,,,6,,,,,10,5,10
202307,Q12,중식,H,찜류,H03,육류찜류,,462000,923000,1804000,1103000,340000,,,731000,504000,1175000,,,,24,51,95,59,17,,,40,29,61,
202311,Q06,분식,A,밥류,A16,탕밥류,,111200,,198700,107000,60000,,83400,42000,62300,,,,,8,,22,12,6,,6,4,7,,
202311,Q10,일식/수산물,T,빵/과자류,T17,일반빵류,,,22400,41600,84700,16000,,88200,139100,197100,94000,25600,,,,7,13,16,5,,15,33,28,21,8
202311,Q11,제과/제빵/떡/케익,W,음료류,W08,이온음료류,,,7000,,,,,,,,,,,,,7,,,,,,,,,
202401,Q14,패스트푸드,S,떡류,S02,호떡류,,68200,58150,65500,187500,62200,,17500,35600,45300,121400,81000,,,37,27,39,119,45,,10,14,34,76,47
202312,Q08,유흥주점,B,면류,B07,볶음면류,,,,,,,,72000,,,,,,,,,,,,,4,,,,
202308,Q06,분식,V,주류,V07,와인류,,,,186000,,,,,,,,,,,,,10,,,,,,,,
202403,Q11,제과/제빵/떡/케익,R,묵류,R01,어묵류,14800,202500,647500,557000,685300,314600,11200,158800,438200,417799,347500,244900,1345000,14,165,411,267,378,149,11,104,261,234,191,119
202401,Q13,커피/음료,T,빵/과자류,T18,일본식과자류,,47500,117500,90000,80000,40000,,71200,161000,120000,73400,,,,14,17,15,8,4,,28,34,14,8,
202311,Q11,제과/제빵/떡/케익,E,구이류,E02,야채/채소구이류,,,25100,69200,20300,67351,,34900,25100,191800,71800,118600,,,,5,14,4,14,,7,5,38,14,23
202403,Q10,일식/수산물,F,볶음류,F04,김치볶음류,,,,,40000,,,237000,,,,,,,,,,4,,,17,,,,
202404,Q04,별식/퓨전요리,W,음료류,W09,전통음료류,,18000,25000,,34500,10000,,,29000,23960,10560,,,,7,9,,11,4,,,5,10,4,
202401,Q07,양식,T,빵/과자류,T16,인도식빵류,,1850700,3559630,1150400,336338,76800,,628850,938264,486650,380550,148000,,,700,1322,453,147,35,,406,479,218,189,45
202403,Q12,중식,R,묵류,R01,어묵류,,15000,,32000,28500,,7000,32000,41000,39500,,,,,5,,21,22,,7,14,11,20,,
202310,Q05,부페,A,밥류,A09,볶음밥류,46000,99000,16000,54000,86000,,,,,66000,43000,,,12,30,5,20,25,,,,,24,12,
202309,Q15,한식,T,빵/과자류,T04,마늘빵류,,123000,232000,175300,317600,243647,,253000,178500,158100,221212,236700,,,16,38,31,49,41,,30,26,24,50,39
202401,Q13,커피/음료,L,전/부침류,L01,해물전류,,,,23806,,,,,,,,,,,,,4,,,,,,,,
202310,Q16,휴게소/대형업체,W,음료류,W11,차류,,,13000,99100,150400,43000,,,25500,73700,38700,97000,,,,10,55,84,24,,,14,19,24,21
202310,Q05,부페,W,음료류,W11,차류,,,,,,,,,,,,,,,,,,,,,,,,,
202406,Q14,패스트푸드,H,찜류,H01,수산물찜류,,,,112000,40000,,,,,99000,135000,,,,,,14,5,,,,,11,15,
202311,Q08,유흥주점,T,빵/과자류,T17,일반빵류,,178000,148800,,90400,,,456500,266700,88600,220911,82500,,,26,25,,15,,,74,52,21,33,13
202308,Q03,닭/오리요리,N,회류,N02,수산물숙회류,,,,,,,,,,,,,,,,,,,,,,,,,
202311,Q12,중식,F,볶음류,F04,김치볶음류,,51600,,66000,40000,,,,,,,,,,4,,5,4,,,,,,,
202308,Q12,중식,W,음료류,W10,주스류,,49622,152000,68000,8000,92500,,6000,34000,82000,,,,,32,46,46,8,13,,4,10,56,,
202309,Q05,부페,W,음료류,W10,주스류,,,,4000,5600,,,,,,,,,,,,4,4,,,,,,,
202406,Q11,제과/제빵/떡/케익,M,만두류,M04,김치만두류,,2446900,8828700,12801400,15120700,8520600,43000,3834600,8553900,13442900,15771500,8935600,7660400,,438,1569,2326,2727,1464,8,683,1570,2442,2842,1582
202406,Q07,양식,W,음료류,W09,전통음료류,,,10000,,,,,,,,,24000,,,,4,,,,,,,,,8
202406,Q02,고기요리,W,음료류,W07,우유/요거트류,0,6000,,,32000,,,,,,29600,,,4,4,,,4,,,,,,7,
202312,Q08,유흥주점,L,전/부침류,L03,육전류,,190000,322000,,,,,,,,,,,,10,13,,,,,,,,,
202312,Q14,패스트푸드,T,빵/과자류,T24,카스텔라류,,29500,122500,99460,216450,163469,,108500,109880,262780,235340,53895,,,11,33,36,55,42,,38,26,76,59,14
202312,Q13,커피/음료,K,적/꼬치류,K02,야채/채소꼬치류,,16700,5600,19600,4000,,,16500,17000,62000,5600,,,,13,8,22,4,,,11,20,54,7,
202403,Q11,제과/제빵/떡/케익,H,찜류,H04,김치찜류,,,,,167000,627000,,,,,,,,,,,,15,57,,,,,,
202406,Q05,부페,A,밥류,A05,도시락류,,16000,40000,199500,28000,,,,62000,,20000,,,,4,10,21,7,,,,10,,4,
202402,Q13,커피/음료,E,구이류,E02,야채/채소구이류,,48000,180500,191335,91000,120500,,32000,313000,207000,356000,149000,,,8,36,38,21,18,,8,59,38,76,21
202403,Q13,커피/음료,B,면류,B04,동남아식면류,,101900,211400,356000,205010,,,,267700,287600,431400,173000,,,7,15,29,15,,,,19,23,44,13
202404,Q16,휴게소/대형업체,G,튀김류,G04,가스류,,542900,573600,785700,631900,884000,,223800,414600,729300,905600,949700,,,61,54,86,72,88,,35,34,70,98,93
202311,Q07,양식,T,빵/과자류,T03,도넛류,,300550,323849,112100,162700,,,1475010,928900,112600,148100,18000,,,55,59,22,29,,,263,168,22,27,5
202312,Q01,간이주점,T,빵/과자류,T06,바게트류,,1773400,2164500,569400,65000,44000,,1279400,1088000,307500,182400,101000,,,157,199,52,14,11,,125,94,43,27,18
